Complexity,Loss,Equation
1,0.0005104281006570803,"0.0006827140724376913"
3,0.0005014427577767024,"x1 * 0.003049825378249945"
5,0.0003013654666358974,"0.006413326662046079 / (1.0468392896589596 - x1)"
7,0.0002521665326601809,"(x1 * 0.010866104606599097) / (1.0766954087991314 - x1)"
9,0.0002064552305685966,"((0.024430888767739297 / (1.1616269561003396 - x1)) + -0.011355602423836245) * x1"
11,4.540641573693424e-5,"(((x1 * x1) * (x1 + 1.6351952052916332)) + -0.6376365846565839) * 0.06468697794085732"
13,3.629809578965831e-5,"(((x1 * (x1 + 0.23274387866034202)) + -0.4596859551555203) * (x1 + 1.13262479019087)) * 0.08055961998233048"
15,2.6610926332497018e-5,"(x1 + 1.1223938102368367) * ((((x1 * x1) * (x1 + 2.2892102390962874)) + -1.0367969905824388) * 0.030645312131085196)"
17,2.6579894877541878e-5,"((((x1 + 2.2912009311063626) * (x1 - 0.008433841982589946)) * x1) + -1.0252007081943053) * ((x1 + 1.1227486012749204) * 0.030862199243567305)"
19,1.1773538637386234e-5,"((x1 + 1.173369989378304) * ((1.887713220799171 - (x1 * (x1 + -0.8032194411933816))) * 0.054663508803315955)) * ((x1 * x1) + -0.3386734019155519)"
21,1.1547846026663171e-5,"((x1 + 1.17369291987124) * 0.05452595221100122) * ((1.895904560119131 - (x1 * ((x1 + -0.7995627445995114) * 1.0512129584453123))) * ((x1 * x1) + -0.3378486048411716))"
25,1.500131481487433e-6,"((0.8551537346449902 - ((x1 + 1.0172328023631854) * ((x1 + -0.4745703189386883) * x1))) + x1) * (((x1 * x1) + -0.34780395448388207) * ((x1 + 1.0665907401636976) * 0.10841389436101814))"
27,1.498598088170589e-6,"(((x1 + 1.0661904624423426) * ((x1 + 0.8459802998665678) - ((x1 * (x1 + -0.47596916746073764)) * (x1 + 1.0123389725451215)))) * (((x1 - -0.00821437994344716) * x1) + -0.3522345923897164)) * 0.10825114424956525"
29,1.4944725341358007e-6,"(((x1 - -0.006565270566818016) * (x1 - -0.006565270566818865)) + -0.35541270673725944) * ((x1 + 1.0661252372037169) * ((x1 + (0.8458886094791244 - ((x1 + 1.013792527601025) * ((x1 + -0.47917201771705437) * x1)))) * 0.10746202442784128))"
