Complexity,Loss,Equation
1,0.0011097354026553834,"-0.022312149503578963"
3,0.00019438646057449337,"x1 * 0.0372927869127878"
5,5.9769345810338254e-5,"(x1 * 0.0518684466330418) + 0.018721463687024334"
7,2.1125597021223773e-7,"x1 * ((x1 * 0.03125188124776983) + 0.06846016244955111)"
9,1.4412024653437658e-7,"((x1 * 0.030412970885745946) + 0.00032903050661984076) * (x1 + 2.2314862127650423)"
13,7.661484370854871e-8,"((x1 + (x1 / -1.0021357397723623)) + 0.02678742043310674) * (x1 * (x1 + 2.4925443058412013))"
15,5.2823204099086174e-8,"((x1 + 2.4776383627159295) * (((x1 / -1.0018434465429018) + x1) + 0.026887495953885333)) * (x1 + 0.006893500211386202)"
17,5.282319014473958e-8,"(((x1 * ((x1 + 0.029821483392457524) + (x1 / -1.002044147865011))) - -0.00020547596692135995) * 0.9020341769186404) * (x1 + 2.4776530377008688)"
19,3.4365016227261105e-10,"(((x1 + 1.2567000418263494) * (x1 + ((x1 * x1) * ((x1 * -0.07600661727870467) + 0.09475911586424209)))) + x1) * 0.030175064252433527"
21,2.4466779009966407e-10,"(x1 + ((x1 + 1.2552996464875787) * (((x1 * ((x1 * -0.0778029307214001) + 0.096103442675632)) * x1) + (x1 + -0.0009425322629657488)))) * 0.03021581262664861"
23,2.436712569195732e-10,"(((x1 + (((x1 * (x1 + 0.006239691623993274)) * ((x1 * -0.07779674750805908) + 0.0961273977277399)) + -0.0009372127005704012)) * (x1 + 1.2553039585976997)) + x1) * 0.030211016313249302"
27,1.983138352516338e-10,"(((x1 + 1.2556704920341326) * (x1 + (((x1 * x1) + (-0.004576273237377265 / ((x1 * x1) + 0.3215074235617901))) * ((x1 * -0.07742695593851918) + 0.0951721098789102)))) + x1) * 0.030203237842325512"
29,1.4069014204163135e-10,"(((x1 + 1.255789585577873) * ((((x1 * -0.0770397950356692) + 0.09483319336844864) * ((x1 * x1) + (-0.005017757805130015 / ((x1 * (x1 / 0.20499892270526376)) + 0.2049989510784201)))) + x1)) + x1) * 0.030198993331915835"
